Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
-0.051,390,-0.021,0.429,1.232,-1.14,0
0.051,392,-0.012,0.454,1.084,-1.311,0
0.077,395,-0.002,0.489,0.821,-1.19,0
-0.025,394,-0.002,0.478,0.787,-1.163,0
0.076,397,0.009,0.514,0.796,-0.888,0
-0.101,393,0,0.468,0.718,-0.982,0
-0.025,392,-0.002,0.457,0.656,-1.124,0
0.026,393,0.002,0.47,0.68,-1.143,0
-0.025,392,-0.003,0.458,0.807,-1.224,0
-0.051,390,-0.008,0.433,0.761,-1.433,0
-0.026,389,-0.01,0.421,0.829,-1.661,0
0.026,390,-0.007,0.438,0.898,-1.741,0
-0.051,388,-0.011,0.412,1.079,-1.942,0
0,388,-0.01,0.412,0.978,-2.078,0
0.026,389,-0.006,0.431,0.977,-2.082,0
0,389,-0.004,0.431,1.062,-2.06,0
0,389,-0.003,0.431,1.005,-2.02,0
0.026,390,0.001,0.454,0.879,-1.886,0
0,390,0.002,0.454,1.037,-1.759,0
-0.026,389,-0.001,0.434,1.055,-1.72,0
-0.051,387,-0.005,0.397,0.97,-1.828,0
-0.026,386,-0.007,0.379,1.081,-1.973,0
-0.13,381,-0.019,0.306,1.503,-2.463,0
0.131,386,-0.005,0.426,1.25,-2.419,0
0.181,393,0.014,0.544,1.485,-1.799,1
-0.102,389,0.003,0.483,1.299,-1.612,0
0.077,392,0.01,0.526,1.258,-1.207,0
0.026,393,0.012,0.54,0.929,-0.797,0
0,393,0.011,0.54,0.924,-0.467,0
0,393,0.011,0.54,0.715,-0.203,0
